mundesc,codmun,uf,cobatb,cobsbuc,prprenat7,prprenat4-6,prprenat1-3,rzcito,rzmamogr,rzpamc,rzintccmc,rzpaac,rzintccac,prachoacd,prpamcnr,prpaacnr,printmcnr,printacnr,prisab,txsifcong,prcuratb,prcurahans,Cobtetrav1,mescovds,prexodon,prparton,probm15uti,probiiam,ghm,RegBr
Cariús,230330,CE,"94,5%","59,2%","63,6%","31,5%","4,2%","54,4%","2,0%","0,15","3,88","0,95","0,96","35,2%","0,0%","0,0%","0,0%","0,0%","57,4%",,"100,0%","97,0%","96,6%","0,00","26,2%","62,6%","17,6%","15,0%",GH6,NE
Carnaubal,230340,CE,"99,6%","123,9%","82,7%","14,7%","2,0%","96,3%","9,9%","0,53","2,63","1,32","2,09","37,4%","0,0%","0,0%","0,0%","0,0%","47,1%",,"83,3%",,"100,4%","6,84","7,5%","67,4%","17,0%","12,4%",GH6,NE
Cascavel,230350,CE,"80,9%","72,6%","52,7%","40,6%","4,5%","30,7%","10,0%","0,39","3,50","1,73","1,61","30,3%","0,0%","0,0%","0,0%","0,0%","27,4%","3,14","93,1%","80,0%","105,6%","17,15","17,8%","55,3%","15,9%","18,7%",GH4,NE
Catarina,230360,CE,"102,7%","96,0%","71,2%","25,5%","3,1%","47,8%","0,4%","0,12","1,91","0,49","0,68","38,6%","0,0%","0,0%","0,0%","0,0%","39,3%",,"50,0%","75,0%","112,5%","4,50","14,0%","60,8%","18,0%","18,3%",GH6,NE
Catunda,230365,CE,"87,9%","60,3%","79,9%","16,7%","3,4%","69,5%","4,9%","0,49","1,82","1,31","1,46","37,8%","0,0%","0,0%","0,0%","0,0%","29,5%",,"75,0%",,"104,8%","15,60","44,7%","69,3%","17,8%","13,3%",GH6,NE
Caucaia,230370,CE,"62,8%","42,2%","37,2%","47,3%","8,8%","28,2%","13,9%","0,34","3,04","1,67","1,52","33,5%","0,0%","0,0%","0,0%","0,0%","24,6%","7,11","80,4%","87,7%","97,4%","2,56","3,5%","45,8%","16,7%","18,0%",GH4,NE
Cedro,230380,CE,"108,7%","92,7%","68,8%","26,6%","3,4%","81,9%","3,0%","0,21","3,96","1,21","1,49","31,6%","0,0%","0,0%","0,0%","0,0%","40,6%",,"80,0%","71,8%","105,3%","52,01","12,7%","48,8%","15,1%","13,8%",GH4,NE
Chaval,230390,CE,"118,9%","114,9%","36,2%","48,0%","13,4%","71,1%","0,9%","0,24","6,12","1,25","0,88","30,7%","0,0%","0,0%","0,0%","0,0%","59,8%",,"83,3%","100,0%","123,1%","2,83","15,2%","67,4%","17,4%","14,2%",GH6,NE
Choró,230393,CE,"112,8%","90,8%","46,3%","42,2%","8,7%","83,3%","9,1%","0,06","2,42","0,45","0,45","28,9%","0,0%","0,0%","0,0%","0,0%","25,8%",,"83,3%","83,3%","114,9%","2,02","1,6%","60,1%","17,5%","15,6%",GH6,NE
Chorozinho,230395,CE,"95,1%","47,6%","44,6%","46,4%","6,8%","66,3%","6,3%","0,34","2,52","1,00","1,52","33,1%","0,0%","0,0%","0,0%","0,0%","47,0%",,"86,7%","75,0%","115,1%","0,00","28,1%","39,2%","15,5%","12,0%",GH6,NE
Coreaú,230400,CE,"90,8%","85,2%","75,2%","22,1%","2,0%","46,0%","11,2%","0,80","3,76","1,79","2,06","33,5%","0,0%","0,0%","0,0%","0,0%","49,1%",,"70,0%","100,0%","116,7%","4,97","12,1%","58,5%","17,5%","15,7%",GH6,NE
Crateús,230410,CE,"60,4%","49,1%","65,1%","27,6%","5,8%","30,6%","3,8%","0,20","3,66","1,18","1,42","34,5%","0,0%","0,0%","0,1%","0,0%","26,2%","1,67","88,9%","92,9%","106,3%","0,69","10,8%","53,9%","18,0%","14,6%",GH4,NE
Crato,230420,CE,"77,8%","46,3%","57,2%","35,3%","6,3%","80,4%","14,2%","0,55","6,42","3,02","2,64","33,0%","0,4%","0,0%","0,2%","0,0%","49,2%","0,95","85,5%","93,0%","106,2%","2,36","16,9%","33,8%","23,5%","19,3%",GH4,NE
Croatá,230423,CE,"95,2%","112,7%","76,9%","20,2%","1,8%","73,7%","6,8%","0,40","3,00","1,16","1,42","38,8%","0,0%","0,0%","0,0%","0,0%","37,0%",,"100,0%","100,0%","102,3%","15,41","6,6%","68,0%","17,3%","15,9%",GH6,NE
Cruz,230425,CE,"83,4%","93,4%","75,4%","20,5%","3,6%","85,3%","3,6%","0,35","2,95","0,82","1,57","39,2%","0,0%","0,0%","0,0%","0,0%","45,7%",,"85,7%","84,6%","97,2%","17,92","11,5%","59,6%","17,6%","14,0%",GH6,NE
Deputado Irapuan Pinheiro,230426,CE,"126,5%","126,5%","79,8%","16,5%","2,5%","104,6%","2,7%","0,18","2,35","0,48","0,73","37,0%","0,0%","0,0%","0,0%","0,0%","45,7%",,"100,0%","100,0%","95,5%","2,39","39,3%","47,3%","20,6%","13,3%",GH6,NE
Ererê,230427,CE,"131,3%","145,9%","47,8%","44,9%","4,3%","81,3%","2,9%","0,12","1,84","0,42","1,22","35,8%","0,0%","0,0%","0,0%","0,0%","28,1%",,"100,0%","100,0%","170,0%","0,36","17,1%","58,4%","17,3%","13,2%",GH6,NE
Eusébio,230428,CE,"106,8%","84,7%","64,9%","28,1%","4,4%","90,3%","13,2%","0,30","2,66","1,66","2,04","31,7%","0,0%","0,0%","0,0%","0,0%","22,7%","1,54","86,1%","68,8%","115,3%","7,62","9,5%","41,0%","16,8%","16,7%",GH3,NE
Farias Brito,230430,CE,"118,4%","113,1%","83,0%","15,6%","1,0%","85,2%","10,0%","2,01","4,36","1,76","2,41","38,7%","0,0%","0,0%","0,0%","0,0%","35,1%","1,67","100,0%","93,8%","101,6%","10,89","5,9%","46,5%","17,9%","15,4%",GH6,NE
Forquilha,230435,CE,"106,0%","73,4%","62,9%","28,6%","7,1%","40,0%","9,8%","0,88","3,40","2,39","3,02","33,9%","0,0%","0,0%","0,0%","0,0%","31,0%","2,19","90,5%","100,0%","99,2%","0,53","20,4%","55,9%","20,9%","17,5%",GH6,NE
Fortaleza,230440,CE,"39,1%","25,8%","41,5%","42,1%","9,2%","44,7%","17,6%","1,22","3,51","5,97","3,76","40,0%","3,4%","1,9%","2,3%","2,3%","31,3%","6,97","66,5%","85,2%","91,6%","1,72","6,2%","34,8%","16,9%","9,0%",GH1,NE
Fortim,230445,CE,"97,6%","77,4%","73,9%","20,2%","4,0%","86,5%","9,7%","0,17","2,80","1,18","1,26","33,5%","0,0%","0,0%","0,0%","0,0%","31,2%",,"100,0%","100,0%","108,2%","4,85","26,9%","62,3%","14,9%","15,9%",GH6,NE
Frecheirinha,230450,CE,"111,6%","67,4%","76,8%","19,7%","2,3%","44,2%","9,2%","0,82","4,58","2,30","2,62","34,0%","0,0%","0,0%","0,0%","0,0%","35,0%","2,08","66,7%","100,0%","111,5%","0,55","5,3%","57,9%","19,2%","19,4%",GH6,NE
General Sampaio,230460,CE,"84,5%","84,5%","57,2%","27,9%","3,4%","82,7%","6,5%","0,37","1,74","0,99","1,55","36,5%","0,0%","0,0%","0,0%","0,0%","21,7%",,"80,0%","88,9%","152,8%","19,11","5,2%","58,6%","16,2%","17,6%",GH6,NE
Graça,230465,CE,"81,4%","46,5%","67,4%","27,5%","4,1%","80,8%","11,4%","0,72","3,31","1,76","1,88","40,9%","0,0%","0,0%","0,0%","0,0%","49,9%",,"88,9%","50,0%","90,2%","0,09","7,6%","67,9%","20,0%","12,4%",GH6,NE
Granja,230470,CE,"25,2%","36,1%","32,4%","48,0%","15,6%","21,8%","3,4%","0,43","2,44","0,79","0,98","30,0%","0,0%","0,0%","0,0%","0,0%","29,0%",,"69,0%","60,0%","108,1%","0,59","15,5%","70,0%","17,6%","14,2%",GH6,NE
Granjeiro,230480,CE,"134,7%","129,7%","47,8%","48,3%","2,0%","59,4%","0,3%","0,06","1,78","1,45","1,78","37,6%","0,0%","0,0%","0,0%","0,0%","19,9%",,"100,0%","100,0%","116,7%","0,38","7,8%","60,8%","16,6%","14,1%",GH6,NE
Groaíras,230490,CE,"117,3%","88,0%","78,6%","16,9%","3,7%","48,0%","23,0%","1,14","3,80","2,51","2,57","35,6%","0,0%","0,0%","0,0%","0,0%","44,4%",,"80,0%","100,0%","104,0%","2,81","16,4%","61,6%","16,2%","14,3%",GH6,NE
Guaiúba,230495,CE,"111,0%","90,3%","52,9%","39,9%","4,4%","62,0%","3,3%","0,33","2,85","1,34","1,20","40,0%","0,0%","0,0%","0,0%","0,0%","28,2%",,"100,0%","76,9%","95,3%","8,19","19,9%","42,7%","16,1%","12,2%",GH6,NE
Guaraciaba do Norte,230500,CE,"43,0%","33,8%","61,8%","31,6%","5,5%","85,3%","7,8%","0,58","3,24","1,55","1,78","27,2%","0,0%","0,0%","0,0%","0,0%","35,7%",,"91,7%","91,7%","96,1%","3,38","14,1%","65,3%","22,2%","14,3%",GH6,NE
Guaramiranga,230510,CE,"216,1%","198,1%","60,5%","30,8%","5,3%","191,5%","10,5%","0,77","5,82","2,71","3,03","39,4%","0,0%","0,0%","0,0%","0,0%","35,6%",,"0,0%","100,0%","109,1%","3,31","23,3%","55,4%","17,0%","13,7%",GH6,NE
Hidrolândia,230520,CE,"75,0%","46,5%","70,7%","26,1%","1,8%","67,1%","5,8%","0,54","2,57","1,81","2,15","37,9%","0,0%","0,0%","0,0%","0,0%","35,9%",,"88,2%","66,7%","97,9%","13,09","24,1%","66,6%","15,8%","12,4%",GH6,NE
Horizonte,230523,CE,"73,4%","71,2%","58,6%","34,3%","4,1%","85,9%","12,5%","0,33","3,30","1,93","2,20","34,6%","0,0%","0,0%","0,0%","0,0%","47,7%","2,47","86,2%","80,0%","111,2%","12,81","10,4%","53,3%","19,9%","15,4%",GH3,NE
Ibaretama,230526,CE,"116,0%","78,9%","40,5%","48,4%","8,1%","68,1%","8,8%","0,06","2,66","0,64","0,99","35,8%","0,0%","0,0%","0,0%","0,0%","25,9%",,"83,3%","66,7%","90,5%","2,65","23,2%","58,2%","15,3%","13,4%",GH6,NE
Ibiapina,230530,CE,"109,9%","104,6%","76,2%","20,2%","2,4%","97,0%","8,0%","0,50","4,29","1,38","1,91","34,2%","0,0%","0,0%","0,0%","0,0%","34,2%","1,45","100,0%","60,0%","91,9%","10,39","6,6%","65,9%","17,9%","13,4%",GH6,NE
Ibicuitinga,230533,CE,"133,1%","116,9%","64,8%","31,0%","3,0%","118,2%","11,1%","0,11","2,01","1,33","1,00","35,6%","0,0%","0,0%","0,0%","0,0%","24,2%",,"75,0%","100,0%","107,3%","0,00","15,6%","53,7%","15,5%","13,8%",GH6,NE
Icapuí,230535,CE,"114,2%","65,2%","57,3%","36,1%","4,6%","60,3%","4,9%","0,10","2,04","1,03","1,28","40,8%","0,0%","0,0%","0,0%","0,0%","20,1%",,"80,0%","60,0%","95,1%","0,17","21,9%","55,6%","19,0%","14,3%",GH6,NE
Icó,230540,CE,"61,9%","49,3%","50,0%","44,2%","4,3%","33,2%","2,9%","0,54","2,99","0,93","1,09","32,5%","0,0%","0,0%","0,0%","0,0%","36,0%","0,72","87,1%","86,0%","88,7%","12,44","15,9%","54,0%","18,3%","19,0%",GH4,NE
Iguatu,230550,CE,"80,5%","71,2%","88,3%","10,3%","1,1%","86,4%","10,3%","0,75","5,75","1,82","1,59","28,3%","0,0%","0,0%","0,1%","0,0%","28,8%","0,95","78,0%","84,3%","113,6%","5,71","15,4%","43,8%","15,5%","12,5%",GH4,NE
Independência,230560,CE,"53,7%","64,5%","64,9%","29,2%","5,1%","85,9%","1,3%","0,30","2,49","0,80","1,14","32,8%","0,0%","0,0%","0,0%","0,0%","36,7%","2,20","83,3%","100,0%","96,5%","0,84","27,5%","61,4%","19,8%","14,7%",GH6,NE
Ipaporanga,230565,CE,"105,9%","52,9%","55,7%","35,0%","8,7%","54,2%","0,3%","0,21","3,56","0,53","0,87","36,5%","0,0%","0,0%","0,0%","0,0%","43,2%","4,13","100,0%","33,3%","128,9%","0,00","21,5%","68,2%","18,3%","14,5%",GH6,NE
Ipaumirim,230570,CE,"74,9%","49,9%","52,5%","41,7%","3,0%","23,5%","0,1%","0,29","4,41","0,61","0,78","34,6%","0,0%","0,0%","0,0%","0,0%","44,3%",,"100,0%","87,5%","86,8%","0,51","19,2%","55,1%","18,3%","15,5%",GH6,NE
Ipu,230580,CE,"63,3%","55,2%","58,1%","35,4%","5,0%","60,1%","13,6%","0,65","4,62","1,82","1,95","35,9%","0,0%","0,0%","0,0%","0,0%","43,1%",,"83,3%","90,0%","108,2%","4,81","15,7%","56,2%","21,7%","16,5%",GH4,NE
Ipueiras,230590,CE,"52,8%","60,1%","45,1%","45,1%","8,4%","82,2%","5,1%","0,56","3,09","0,94","1,58","34,2%","0,0%","0,0%","0,0%","0,0%","40,4%","1,11","66,7%","66,7%","110,3%","0,00","24,1%","66,7%","21,4%","15,0%",GH6,NE
Iracema,230600,CE,"108,3%","89,3%","81,0%","16,0%","2,3%","121,6%","9,1%","0,24","3,46","1,31","1,12","39,1%","0,0%","0,0%","0,0%","0,0%","39,8%","2,29",,"75,0%","93,4%","10,40","16,9%","56,4%","17,1%","13,2%",GH6,NE
Irauçuba,230610,CE,"106,3%","92,9%","81,9%","14,4%","3,1%","51,7%","4,1%","0,65","2,62","1,36","1,53","33,5%","0,0%","0,0%","0,0%","0,0%","29,6%",,"100,0%","91,7%","112,0%","1,00","15,8%","65,2%","19,6%","14,4%",GH6,NE
Itaiçaba,230620,CE,"122,9%","122,9%","98,6%","1,1%","0,4%","122,4%","20,5%","0,14","2,82","1,59","1,19","39,0%","0,0%","0,0%","0,0%","0,0%","14,9%",,"100,0%",,"107,0%","22,86","11,3%","60,8%","15,8%","14,5%",GH6,NE
Itaitinga,230625,CE,"108,6%","104,2%","49,6%","37,2%","7,9%","65,9%","7,6%","0,26","2,53","1,63","2,14","33,8%","0,0%","0,0%","0,0%","0,0%","39,3%","3,38","73,5%","80,0%","121,6%","3,53","5,3%","48,6%","20,1%","10,2%",GH6,NE
Itapagé,230630,CE,"80,1%","58,9%","45,1%","46,3%","7,3%","49,3%","6,7%","0,20","2,86","0,92","1,54","30,1%","0,0%","0,0%","0,0%","0,0%","42,0%","0,88","96,6%","72,7%","136,2%","1,71","30,5%","59,6%","19,7%","14,4%",GH4,NE
Itapipoca,230640,CE,"70,0%","27,4%","43,9%","46,8%","7,9%","58,9%","18,8%","0,26","4,30","0,94","1,00","34,3%","0,0%","0,0%","0,2%","0,0%","25,3%","1,23","93,3%","89,6%","96,2%","3,19","18,9%","62,2%","15,7%","14,9%",GH4,NE
Itapiúna,230650,CE,"73,0%","80,5%","59,3%","36,1%","3,8%","67,2%","1,8%","0,13","4,66","0,79","0,93","32,6%","0,0%","0,0%","0,0%","0,0%","35,0%","2,49","100,0%","100,0%","127,1%","0,03","38,0%","58,8%","16,8%","15,6%",GH6,NE
Itarema,230655,CE,"70,7%","64,1%","82,4%","15,6%","1,8%","89,7%","7,9%","0,26","2,20","0,73","1,44","35,7%","0,0%","0,0%","0,0%","0,0%","26,3%",,"100,0%","100,0%","108,7%","3,78","34,8%","66,7%","16,5%","11,6%",GH6,NE
Itatira,230660,CE,"109,8%","97,9%","51,6%","40,2%","6,9%","80,4%","2,2%","0,25","2,29","0,70","0,69","32,7%","0,0%","0,0%","0,0%","0,0%","28,9%","3,40","75,0%","62,5%","120,7%","1,15","25,7%","68,0%","17,9%","13,8%",GH6,NE
Jaguaretama,230670,CE,"84,0%","99,3%","82,4%","15,0%","1,0%","141,0%","10,5%","0,20","2,03","1,25","2,40","35,7%","0,0%","0,0%","0,0%","0,0%","24,5%",,"100,0%","100,0%","85,8%","7,62","17,0%","52,7%","15,8%","15,0%",GH6,NE
Jaguaribara,230680,CE,"115,3%","81,7%","75,8%","19,7%","3,2%","105,6%","10,9%","0,25","2,40","1,17","0,85","37,4%","0,0%","0,0%","0,0%","0,0%","40,4%","2,34","50,0%","50,0%","95,8%","86,65","29,5%","53,7%","17,1%","15,7%",GH6,NE
Jaguaribe,230690,CE,"66,1%","61,0%","75,7%","21,9%","2,0%","115,4%","13,0%","0,53","3,52","1,12","1,35","29,7%","0,0%","0,0%","0,0%","0,0%","31,2%",,"66,7%","75,0%","115,9%","2,64","28,9%","45,5%","16,6%","14,7%",GH6,NE
Jaguaruana,230700,CE,"96,9%","33,7%","63,0%","31,7%","3,9%","79,0%","15,3%","0,31","3,55","1,63","1,41","31,3%","0,0%","0,0%","0,0%","0,0%","34,9%","1,39","100,0%","33,3%","91,9%","6,90","22,4%","53,2%","15,7%","12,4%",GH6,NE
Jardim,230710,CE,"107,7%","121,0%","46,4%","47,6%","4,7%","60,5%","3,2%","0,49","4,51","1,68","2,42","41,6%","0,0%","0,0%","0,0%","0,0%","40,4%",,"87,5%","91,3%","87,9%","2,86","11,2%","60,7%","17,0%","17,7%",GH4,NE
Jati,230720,CE,"117,7%","119,3%","62,9%","31,5%","3,5%","56,6%","7,2%","0,30","6,34","1,22","1,03","38,0%","0,0%","0,0%","0,0%","0,0%","41,2%",,"100,0%","100,0%","139,2%","1,42","0,5%","48,4%","19,6%","18,2%",GH6,NE
Jijoca de Jericoacoara,230725,CE,"122,0%","98,5%","67,0%","28,1%","3,0%","77,0%","5,6%","0,39","1,63","0,97","1,69","35,3%","0,0%","0,0%","0,0%","0,0%","28,6%",,"83,3%","50,0%","109,2%","5,06","12,7%","59,7%","19,7%","12,4%",GH6,NE
Juazeiro do Norte,230730,CE,"75,3%","44,7%","58,9%","33,8%","6,5%","54,9%","0,2%","0,67","3,23","3,86","2,80","46,7%","0,0%","0,0%","0,0%","0,0%","25,7%","2,01","89,9%","89,3%","93,0%","0,07","6,1%","42,2%","18,7%","22,1%",GH4,NE
Jucás,230740,CE,"92,4%","60,9%","65,2%","30,9%","3,2%","68,0%","1,8%","0,25","5,33","0,73","1,51","29,8%","0,0%","0,0%","0,0%","0,0%","47,9%","1,47","87,5%","94,9%","120,0%","0,00","3,6%","59,4%","18,5%","14,8%",GH4,NE
Lavras da Mangabeira,230750,CE,"82,4%","57,9%","44,8%","50,1%","2,6%","59,8%","0,4%","0,29","6,58","0,83","1,22","34,3%","0,0%","0,0%","0,0%","0,0%","33,0%",,"77,8%","96,0%","116,1%","0,99","27,5%","53,1%","21,3%","17,1%",GH4,NE
Limoeiro do Norte,230760,CE,"76,8%","54,8%","68,8%","26,3%","3,8%","79,0%","24,4%","0,42","3,67","1,73","1,70","34,8%","0,1%","0,0%","0,1%","0,0%","35,4%","3,51","81,8%","71,4%","93,5%","0,56","6,6%","47,4%","15,0%","18,3%",GH4,NE
Madalena,230763,CE,"116,1%","82,9%","78,3%","18,7%","2,3%","88,1%","2,6%","0,36","1,94","0,67","1,16","30,2%","0,0%","0,0%","0,0%","0,0%","36,7%",,"50,0%","50,0%","95,6%","4,79","7,4%","68,7%","15,9%","15,0%",GH6,NE
Maracanaú,230765,CE,"72,4%","47,0%","52,7%","37,8%","6,3%","64,4%","19,5%","0,86","3,29","3,28","2,05","33,0%","0,0%","0,0%","0,0%","0,0%","30,5%","2,92","73,7%","84,7%","92,1%","3,08","3,2%","40,1%","18,7%","15,2%",GH3,NE
Maranguape,230770,CE,"63,5%","46,5%","61,2%","32,7%","3,7%","54,5%","3,2%","0,22","2,30","1,37","1,37","34,6%","0,0%","0,0%","0,0%","0,0%","32,1%","1,67","88,9%","95,7%","117,0%","1,56","4,6%","45,3%","18,9%","16,7%",GH4,NE
Marco,230780,CE,"94,0%","87,0%","78,3%","19,5%","1,6%","90,6%","7,6%","0,41","2,62","0,81","1,57","37,0%","0,0%","0,0%","0,0%","0,0%","37,6%",,"100,0%","85,7%","102,7%","4,07","9,5%","62,5%","17,4%","16,3%",GH6,NE
Martinópole,230790,CE,"115,0%","112,5%","45,8%","45,2%","7,6%","76,6%","4,3%","0,41","2,59","1,21","1,53","37,0%","0,0%","0,0%","0,0%","0,0%","49,0%",,"100,0%","86,7%","113,7%","0,10","16,7%","70,3%","19,1%","13,3%",GH6,NE
Massapê,230800,CE,"79,5%","32,0%","61,5%","31,0%","5,5%","45,9%","5,5%","0,59","3,54","1,38","1,88","36,0%","0,0%","0,0%","0,0%","0,0%","48,2%",,"62,9%","88,6%","96,1%","1,67","16,5%","61,5%","20,8%","11,6%",GH6,NE
Mauriti,230810,CE,"70,3%","66,2%","56,6%","36,8%","5,3%","69,2%","6,5%","0,47","5,29","1,83","2,16","35,9%","0,0%","0,0%","0,0%","0,0%","44,2%",,"100,0%","90,9%","95,3%","1,79","5,0%","54,8%","19,9%","25,1%",GH4,NE
Meruoca,230820,CE,"87,6%","69,4%","53,3%","38,0%","7,3%","44,1%","18,6%","0,80","3,04","1,99","1,79","39,2%","0,0%","0,0%","0,0%","0,0%","27,7%",,"83,3%","85,7%","97,7%","0,39","24,6%","64,6%","15,7%","12,4%",GH6,NE
Milagres,230830,CE,"108,0%","65,0%","66,3%","28,7%","3,6%","39,7%","5,5%","0,39","3,64","1,54","1,59","33,1%","0,0%","0,0%","0,0%","0,0%","44,0%",,"79,1%","78,3%","97,8%","0,45","15,3%","39,3%","19,5%","13,4%",GH6,NE
Milhã,230835,CE,"110,9%","82,2%","50,4%","44,7%","3,8%","67,4%","12,5%","0,11","2,60","0,99","1,19","35,4%","0,0%","0,0%","0,0%","0,0%","36,7%",,"100,0%","100,0%","89,9%","1,83","42,1%","60,6%","15,5%","16,9%",GH6,NE
Miraíma,230837,CE,"70,3%","70,3%","46,6%","46,1%","6,6%","90,6%","4,2%","0,16","2,70","0,32","0,59","33,5%","0,0%","0,0%","0,0%","0,0%","29,0%","2,78","80,0%","81,8%","94,2%","0,02","24,0%","66,3%","16,7%","15,7%",GH6,NE
Missão Velha,230840,CE,"116,8%","90,5%","60,1%","34,4%","4,3%","74,8%","0,4%","0,49","6,98","2,10","3,13","33,9%","0,0%","0,0%","0,0%","0,0%","36,4%",,"47,6%","76,0%","96,2%","2,57","12,5%","44,3%","21,8%","18,5%",GH4,NE
Mombaça,230850,CE,"50,3%","20,5%","43,0%","49,5%","5,1%","44,9%","0,6%","0,11","2,95","0,97","1,02","22,4%","0,0%","0,0%","0,0%","0,0%","40,6%",,"95,5%","87,5%","96,7%","0,51","6,0%","57,2%","17,4%","12,3%",GH4,NE
Monsenhor Tabosa,230860,CE,"80,8%","49,4%","57,1%","34,6%","7,0%","93,6%","0,6%","0,19","4,41","0,70","1,44","37,1%","0,0%","0,0%","0,0%","0,0%","42,9%",,"92,9%","50,0%","106,6%","1,00","19,9%","59,0%","17,5%","13,8%",GH6,NE
Morada Nova,230870,CE,"63,2%","55,6%","67,4%","26,9%","3,9%","93,8%","19,5%","0,27","3,39","1,14","5,56","29,6%","0,0%","0,0%","0,0%","0,0%","21,6%",,"84,2%","91,5%","95,1%","8,20","8,3%","50,7%","17,5%","13,3%",GH4,NE
Moraújo,230880,CE,"111,5%","52,7%","53,4%","39,9%","5,5%","38,6%","11,3%","0,92","2,67","1,96","2,01","40,4%","0,0%","0,0%","0,0%","0,0%","40,1%","2,69","40,0%","75,0%","133,6%","0,35","34,1%","64,0%","18,2%","16,3%",GH6,NE
Morrinhos,230890,CE,"61,6%","37,4%","54,5%","36,3%","7,1%","79,4%","8,3%","0,52","2,59","1,67","2,24","35,3%","0,0%","0,0%","0,0%","0,0%","23,7%","3,32","91,7%","100,0%","109,8%","0,16","13,0%","64,7%","17,0%","15,9%",GH6,NE
Mucambo,230900,CE,"74,5%","40,8%","69,5%","25,5%","3,9%","61,9%","15,1%","1,00","8,05","2,14","2,47","42,6%","0,0%","0,0%","0,0%","0,0%","59,5%",,"59,1%","92,9%","100,5%","0,00","0,0%","53,8%","18,5%","11,0%",GH4,NE
Mulungu,230910,CE,"104,5%","104,5%","65,3%","30,1%","3,7%","87,2%","14,3%","0,14","2,63","0,87","0,76","32,6%","0,0%","0,0%","0,0%","0,0%","34,4%","2,42",,"100,0%","92,2%","14,59","9,8%","60,4%","16,3%","15,8%",GH6,NE
Nova Olinda,230920,CE,"124,5%","105,2%","63,3%","33,1%","2,5%","73,3%","6,5%","0,55","7,02","2,34","2,29","35,9%","0,0%","0,0%","0,0%","0,0%","51,8%",,"33,3%","100,0%","95,5%","2,93","15,7%","44,1%","14,5%","14,2%",GH6,NE
Nova Russas,230930,CE,"57,3%","77,5%","83,0%","14,2%","1,4%","64,2%","2,9%","0,34","4,67","1,35","1,65","28,2%","0,0%","0,0%","0,0%","0,0%","43,9%",,"68,4%","66,7%","84,1%","1,66","20,2%","62,0%","15,9%","20,7%",GH4,NE
Novo Oriente,230940,CE,"55,5%","31,0%","67,7%","28,3%","2,8%","45,7%","0,4%","0,23","4,43","0,71","0,90","31,9%","0,0%","0,0%","0,0%","0,0%","36,9%",,"90,0%","0,0%","100,0%","0,21","16,8%","59,7%","19,3%","13,6%",GH6,NE
Ocara,230945,CE,"125,4%","123,7%","69,2%","25,3%","3,3%","135,1%","12,8%","0,17","2,83","1,12","1,43","36,9%","0,0%","0,0%","0,0%","0,0%","31,8%","2,30","81,3%","45,5%","103,1%","12,31","12,9%","53,9%","18,1%","14,6%",GH6,NE
Orós,230950,CE,"112,2%","115,9%","84,3%","13,8%","1,0%","79,4%","1,6%","0,24","5,54","0,91","0,96","38,6%","0,0%","0,0%","0,0%","0,0%","33,7%",,"85,7%","75,9%","94,2%","12,22","12,4%","63,3%","20,7%","11,4%",GH6,NE
Pacajus,230960,CE,"67,5%","30,7%","49,1%","40,3%","6,5%","45,2%","5,1%","0,21","2,13","1,39","1,81","33,2%","0,0%","0,0%","0,0%","0,0%","25,8%","1,65","73,0%","77,8%","110,7%","0,78","14,4%","44,2%","14,8%","13,1%",GH4,NE
Pacatuba,230970,CE,"68,3%","45,7%","55,7%","36,0%","5,5%","48,5%","4,7%","0,32","1,90","1,51","1,31","40,4%","0,0%","0,0%","0,0%","0,0%","30,7%","2,25","80,3%","64,9%","120,4%","5,26","11,9%","44,2%","19,5%","12,5%",GH6,NE
Pacoti,230980,CE,"122,6%","129,2%","66,1%","28,5%","3,4%","140,4%","11,3%","0,16","4,70","1,21","1,44","37,0%","0,0%","0,0%","0,0%","0,0%","41,4%",,"0,0%","100,0%","105,9%","5,91","8,0%","64,8%","14,3%","13,6%",GH6,NE
Pacujá,230990,CE,"150,4%","100,2%","61,8%","32,4%","4,2%","72,1%","22,2%","1,38","4,96","3,24","2,94","39,1%","0,0%","0,0%","0,0%","0,0%","56,1%",,"100,0%",,"100,0%","1,32","27,3%","59,5%","17,7%","13,3%",GH6,NE
Palhano,231000,CE,"101,5%","90,2%","65,0%","31,3%","3,5%","68,9%","18,6%","0,19","3,18","1,58","1,63","40,4%","0,0%","0,0%","0,0%","0,0%","35,6%",,"100,0%",,"108,7%","41,52","12,0%","61,0%","15,1%","16,1%",GH6,NE
Palmácia,231010,CE,"75,0%","75,0%","43,2%","49,2%","4,0%","67,6%","2,7%","0,02","2,45","0,63","0,74","36,2%","0,0%","0,0%","0,0%","0,0%","36,8%",,,"61,5%","141,9%","0,21","24,3%","57,2%","18,6%","12,4%",GH6,NE
Paracuru,231020,CE,"95,9%","105,9%","62,5%","28,6%","5,5%","95,7%","12,2%","0,32","3,04","1,45","1,61","29,3%","0,0%","0,0%","0,0%","0,0%","39,8%","3,65","88,9%","100,0%","97,4%","24,06","8,1%","60,4%","20,0%","17,6%",GH4,NE
Paraipaba,231025,CE,"95,7%","90,7%","66,4%","28,1%","3,0%","123,8%","13,8%","0,38","2,69","1,21","1,51","29,0%","0,0%","0,0%","0,0%","0,0%","21,6%","1,34","95,0%","87,5%","113,8%","24,45","0,5%","56,3%","15,5%","15,7%",GH6,NE
